match_id,date,patch,tournament,blue_team,red_team,winner,blue_bans,red_bans,blue_picks,red_picks,blue_roster,red_roster,blue_win,data_source,red_win
LFL/2026 Season/Spring Playoffs_Round 2_3_1,2026-05-21 16:08:00,26.10,LFL 2026 Spring Playoffs,Esprit Shōnen,Galions,Galions,"[""Nautilus"", ""Ashe"", ""Pantheon"", ""Ryze"", ""Ornn""]","[""Orianna"", ""Varus"", ""Anivia"", ""Sion"", ""Syndra""]","[""Ezreal"", ""Karma"", ""Jarvan IV"", ""Rumble"", ""Akali""]","[""Lucian"", ""Xin Zhao"", ""Milio"", ""Viktor"", ""K'Sante""]",[],[],0,leaguepedia_cargo_patch_range,1
Rift Legends/2026 Season/Spring Split_Week 6_5_2,2026-05-21 16:09:00,26.10,Rift Legends 2026 Spring,Forsaken (Polish Team),DOCISK,Forsaken (Polish Team),"[""Wukong"", ""Ezreal"", ""Karma"", ""Zoe"", ""Yorick""]","[""Orianna"", ""Rumble"", ""Xin Zhao"", ""Azir"", ""Ryze""]","[""Bard"", ""Skarner"", ""Caitlyn"", ""Viktor"", ""Jayce""]","[""Pantheon"", ""Neeko"", ""Yunara"", ""Ahri"", ""Ambessa""]",[],[],1,leaguepedia_cargo_patch_range,0
LES/2026 Season/Spring Split_Week 7_3_2,2026-05-21 16:10:00,26.10,LES 2026 Spring,GIANTX iTero,Falke Esports,GIANTX iTero,"[""Pantheon"", ""Seraphine"", ""Varus"", ""Jayce"", ""Renekton""]","[""Shen"", ""Bard"", ""Nautilus"", ""Ornn"", ""Rumble""]","[""Ambessa"", ""Vi"", ""Xerath"", ""Corki"", ""Nami""]","[""Darius"", ""Xin Zhao"", ""Anivia"", ""Caitlyn"", ""Karma""]",[],[],1,leaguepedia_cargo_patch_range,0
Arabian League/2026 Season/Spring Playoffs_Finals_1_1,2026-05-21 16:12:00,26.09,Arabian League 2026 Spring Playoffs,Anubis Gaming,FN Esports,Anubis Gaming,"[""Nautilus"", ""Nocturne"", ""Ezreal"", ""Aurora"", ""Ahri""]","[""Karma"", ""Orianna"", ""Seraphine"", ""Ryze"", ""Rumble""]","[""Jarvan IV"", ""Jhin"", ""Neeko"", ""Anivia"", ""Gnar""]","[""Caitlyn"", ""Xin Zhao"", ""Nami"", ""Annie"", ""Irelia""]",[],[],1,leaguepedia_cargo_patch_range,0
TCL/2026 Season/Spring Playoffs_Round 2_1_2,2026-05-21 16:16:00,26.10,TCL 2026 Spring Playoffs,Ozarox Esports,Misa Esports,Misa Esports,"[""Nautilus"", ""Jarvan IV"", ""Karma"", ""Viego"", ""Gnar""]","[""Orianna"", ""Rumble"", ""Varus"", ""Anivia"", ""Ryze""]","[""Xin Zhao"", ""Ezreal"", ""Nami"", ""K'Sante"", ""Akali""]","[""Ashe"", ""Seraphine"", ""Annie"", ""Nocturne"", ""Twisted Fate""]",[],[],0,leaguepedia_cargo_patch_range,1
Streamers Clash/Season 4_Day 4_2_1,2026-05-21 16:36:00,26.10,Streamers Clash Season 4,SILNĚJŠÍ SE XNAPYM,TYBLÁHO MEWING SOCIETY,TYBLÁHO MEWING SOCIETY,"[""Olaf"", ""Irelia"", ""Yuumi"", ""Jarvan IV"", ""Shyvana""]","[""Bel'Veth"", ""Malphite"", ""Gwen"", ""Nasus"", ""Akali""]","[""Ashe"", ""Amumu"", ""Skarner"", ""Ornn"", ""Cassiopeia""]","[""Braum"", ""Seraphine"", ""Vayne"", ""Xin Zhao"", ""Galio""]",[],[],0,leaguepedia_cargo_patch_range,1
Prime League 1st Division/2026 Season/Spring Playoffs_Quarterfinals_2_3,2026-05-21 16:54:00,26.10,PRM 1st Division 2026 Spring Playoffs,G2 NORD,Unicorns of Love Sexy Edition,G2 NORD,"[""Varus"", ""Annie"", ""Nocturne"", ""Aatrox"", ""Taliyah""]","[""Orianna"", ""Rumble"", ""Vi"", ""Ezreal"", ""Poppy""]","[""Seraphine"", ""Ryze"", ""Lee Sin"", ""Senna"", ""Olaf""]","[""Ashe"", ""Lulu"", ""Skarner"", ""Ambessa"", ""Azir""]",[],[],1,leaguepedia_cargo_patch_range,0
Esports Balkan League/2026 Season/Spring Playoffs_Round 4_1_2,2026-05-21 16:56:00,26.10,EBL 2026 Spring Playoffs,Partizan Sangal,Magaza Esports,Partizan Sangal,"[""Nautilus"", ""Wukong"", ""Jarvan IV"", ""Zaahen"", ""Zeri""]","[""Orianna"", ""Karma"", ""Aurora"", ""Jayce"", ""Vayne""]","[""Yunara"", ""Nami"", ""Nocturne"", ""Gnar"", ""Cassiopeia""]","[""Lulu"", ""Skarner"", ""Tristana"", ""Aatrox"", ""Viktor""]",[],[],1,leaguepedia_cargo_patch_range,0
LFL/2026 Season/Spring Playoffs_Round 2_3_2,2026-05-21 16:56:00,26.10,LFL 2026 Spring Playoffs,Galions,Esprit Shōnen,Galions,"[""Nautilus"", ""Varus"", ""Anivia"", ""Gnar"", ""Kennen""]","[""Orianna"", ""Pantheon"", ""Yunara"", ""LeBlanc"", ""Syndra""]","[""Seraphine"", ""Ashe"", ""Zaahen"", ""Renekton"", ""Annie""]","[""Wukong"", ""Nami"", ""Senna"", ""Cassiopeia"", ""Ornn""]",[],[],1,leaguepedia_cargo_patch_range,0
Road Of Legends/2026 Season/Spring Playoffs_Round 1_3_2,2026-05-21 17:00:00,26.10,Road Of Legends 2026 Spring Playoffs,Once Upon A Team,Dynasty,Once Upon A Team,"[""Sion"", ""Zed"", ""Yasuo"", ""Viktor"", ""Nami""]","[""Orianna"", ""Zoe"", ""Ambessa"", ""Lux"", ""Poppy""]","[""Jarvan IV"", ""Tristana"", ""Aurora"", ""Galio"", ""Rell""]","[""Rumble"", ""Vi"", ""Corki"", ""Ahri"", ""Alistar""]",[],[],1,leaguepedia_cargo_patch_range,0
Arabian League/2026 Season/Spring Playoffs_Finals_1_2,2026-05-21 17:04:00,26.09,Arabian League 2026 Spring Playoffs,Anubis Gaming,FN Esports,Anubis Gaming,"[""Nautilus"", ""Nocturne"", ""Viktor"", ""Sion"", ""Wukong""]","[""Karma"", ""Orianna"", ""Pantheon"", ""Cassiopeia"", ""Vi""]","[""Ashe"", ""Seraphine"", ""Aurora"", ""Shen"", ""Jayce""]","[""Lucian"", ""Milio"", ""Ryze"", ""Lee Sin"", ""K'Sante""]",[],[],1,leaguepedia_cargo_patch_range,0
LES/2026 Season/Spring Split_Week 7_4_1,2026-05-21 17:11:00,26.10,LES 2026 Spring,UCAM Esports,Movistar KOI Fénix,UCAM Esports,"[""Orianna"", ""Pantheon"", ""Rumble"", ""Gwen"", ""Ambessa""]","[""Pyke"", ""Nocturne"", ""Nautilus"", ""LeBlanc"", ""Sion""]","[""Yorick"", ""Xin Zhao"", ""Viktor"", ""Ashe"", ""Seraphine""]","[""Jayce"", ""Jarvan IV"", ""Sylas"", ""Ezreal"", ""Karma""]",[],[],1,leaguepedia_cargo_patch_range,0
TCL/2026 Season/Spring Playoffs_Round 2_1_3,2026-05-21 17:13:00,26.10,TCL 2026 Spring Playoffs,Ozarox Esports,Misa Esports,Misa Esports,"[""Caitlyn"", ""Nautilus"", ""Jarvan IV"", ""Ambessa"", ""Naafiri""]","[""Varus"", ""Orianna"", ""Lulu"", ""Aatrox"", ""Vi""]","[""Karma"", ""Rumble"", ""Sivir"", ""Skarner"", ""Yasuo""]","[""Aurora"", ""Jhin"", ""Alistar"", ""Jayce"", ""Anivia""]",[],[],0,leaguepedia_cargo_patch_range,1
LIT/2026 Season/Summer Promotion_Round 4_1_1,2026-05-21 17:19:00,26.10,LIT 2026 Summer Promotion,DECOY 21,P11 Esports,P11 Esports,"[""Ahri"", ""Zaahen"", ""Aurora"", ""Kai'Sa"", ""Gwen""]","[""Ambessa"", ""Xin Zhao"", ""Cassiopeia"", ""Orianna"", ""Ornn""]","[""Nocturne"", ""Karma"", ""Ezreal"", ""Dr. Mundo"", ""Azir""]","[""Ryze"", ""Wukong"", ""Nautilus"", ""Varus"", ""Senna""]",[],[],0,leaguepedia_cargo_patch_range,1
