combo_size,opponent_combo,games_against_op,wins_against_op,example_winning_matches,faced_op_champions,win_rate_against_op,smoothed_win_rate_against_op
2,Ezreal + Karma,3,1,LCK/2026 Season/Road to MSI_Round 4_1_4,"Nocturne, Senna",0.3333333333333333,0.4375
2,Gragas + Karma,3,1,North American Challengers League/2026 Season/Spring Season_Week 7_6_2,"Nocturne, Senna",0.3333333333333333,0.4375
2,Jarvan IV + Nautilus,3,1,VCS/2026 Season/Summer Playoffs_Round 1_3_1,Nocturne,0.3333333333333333,0.4375
2,Jarvan IV + Rumble,3,1,EMEA Masters/2026 Season/Spring Main Event_Quarterfinals_2_3,Nocturne,0.3333333333333333,0.4375
2,Jarvan IV + Sion,3,1,LCS/2026 Season/Spring Playoffs_Round 2_1_1,"Nocturne, Senna",0.3333333333333333,0.4375
2,Jhin + Karma,3,1,LJL/2026 Season/Spring Series_Week 4_2_1,"Nocturne, Senna",0.3333333333333333,0.4375
2,Karma + Sivir,3,1,Liga Regional Sur/2026 Season/Split 1 Playoffs_Finals_1_1,"Nocturne, Senna",0.3333333333333333,0.4375
2,LeBlanc + Skarner,3,1,Esports Balkan League/2026 Season/Spring Playoffs_Round 4_2_4,"Nocturne, Senna",0.3333333333333333,0.4375
2,Lee Sin + Rumble,3,1,2026 Asian Games/Qualifier_Day 2_1_1,"Nocturne, Senna",0.3333333333333333,0.4375
2,Lee Sin + Ryze,3,1,LCS/2026 Season/Spring Playoffs_Round 3_1_1,Nocturne,0.3333333333333333,0.4375
2,Lucian + Vi,3,1,LCK/2026 Season/Rounds 1-2_Week 9_1_2,"Nocturne, Senna",0.3333333333333333,0.4375
2,Milio + Sion,3,1,NLC/2026 Season/Spring Split_Day 2_2_1,Senna,0.3333333333333333,0.4375
2,Milio + Vi,3,1,LCK/2026 Season/Rounds 1-2_Week 9_1_2,"Nocturne, Senna",0.3333333333333333,0.4375
2,Neeko + Ryze,3,1,Rift Legends/2026 Season/Spring Split_Week 5_6_2,"Nocturne, Senna",0.3333333333333333,0.4375
2,Ryze + Shyvana,3,1,Hitpoint 2nd Division Challengers/2026 Season/Spring Playoffs_Finals_1_4,"Nocturne, Senna",0.3333333333333333,0.4375
2,Sion + Sivir,3,1,Liga Regional Sur/2026 Season/Split 1 Playoffs_Finals_1_1,Nocturne,0.3333333333333333,0.4375
3,Ashe + Lulu + Sion,3,1,CBLOL/2026 Season/Split 1 Playoffs_Round 4_1_2,Senna,0.3333333333333333,0.4375
3,Lucian + Milio + Vi,3,1,LCK/2026 Season/Rounds 1-2_Week 9_1_2,"Nocturne, Senna",0.3333333333333333,0.4375
2,Ashe + Sion,6,2,"CBLOL/2026 Season/Split 1 Playoffs_Round 4_1_2, NLC/2026 Season/Spring Split_Day 2_2_1",Senna,0.3333333333333333,0.4090909090909091
2,Lucian + Milio,21,8,"LCK/2026 Season/Rounds 1-2_Week 6_2_2, VCS/2026 Season/Summer Season_Week 2_5_2, LCK/2026 Season/Rounds 1-2_Week 9_1_2","Nocturne, Senna",0.38095238095238093,0.40384615384615385
2,Ahri + Sion,4,1,TCL/2026 Season/Spring Split_Week 6_2_2,"Nocturne, Senna",0.25,0.3888888888888889
2,K'Sante + Milio,4,1,Circuito Desafiante/2026 Season/Split 2 Promotion_Round 1_2_1,"Nocturne, Senna",0.25,0.3888888888888889
2,Lulu + Sion,4,1,CBLOL/2026 Season/Split 1 Playoffs_Round 4_1_2,Senna,0.25,0.3888888888888889
2,Milio + Naafiri,4,1,NLC/2026 Season/Spring Split_Day 2_2_1,Senna,0.25,0.3888888888888889
3,K'Sante + Lucian + Milio,4,1,Circuito Desafiante/2026 Season/Split 2 Promotion_Round 1_2_1,"Nocturne, Senna",0.25,0.3888888888888889
3,Akali + Lucian + Milio,2,0,,"Nocturne, Senna",0.0,0.35714285714285715
3,Ambessa + Azir + Skarner,2,0,,Senna,0.0,0.35714285714285715
3,Ashe + Jarvan IV + Sion,2,0,,Senna,0.0,0.35714285714285715
3,Ashe + Lulu + Skarner,2,0,,Senna,0.0,0.35714285714285715
3,Aurora + Lucian + Vi,2,0,,"Nocturne, Senna",0.0,0.35714285714285715
3,Aurora + Milio + Vi,2,0,,"Nocturne, Senna",0.0,0.35714285714285715
3,Azir + Lulu + Skarner,2,0,,"Nocturne, Senna",0.0,0.35714285714285715
3,Lucian + Milio + Sion,2,0,,Senna,0.0,0.35714285714285715
2,Azir + Skarner,3,0,,"Nocturne, Senna",0.0,0.3125
2,K'Sante + Wukong,3,0,,"Nocturne, Senna",0.0,0.3125
2,Lucian + Naafiri,3,0,,Senna,0.0,0.3125
2,Lulu + Yunara,3,0,,Senna,0.0,0.3125
3,Lucian + Milio + Naafiri,3,0,,Senna,0.0,0.3125
2,Lulu + Skarner,4,0,,"Nocturne, Senna",0.0,0.2777777777777778
