champion,synergy_degree,synergy_degree_centrality,synergy_weighted_degree,synergy_betweenness,synergy_closeness,synergy_eigenvector,synergy_pagerank,counter_in_degree,counter_out_degree,counter_weighted_in_degree,counter_weighted_out_degree,counter_in_degree_centrality,counter_out_degree_centrality,counter_pagerank,counter_betweenness,counter_hits_hub,counter_hits_authority
Kai'Sa,37.0,0.2846153846153846,27.020358266246422,0.025788751303090832,0.5652173913043478,0.07663414268882195,0.011465946656106191,25.0,46.0,14.290365486766415,36.45196521744509,0.17006802721088435,0.3129251700680272,0.007047284547375066,0.012699919321058085,0.01453467572404173,0.004970080801234608
Jhin,19.0,0.14615384615384616,16.737095765377582,0.0023197217010902564,0.49808429118773945,0.04441706288455873,0.007077743103492871,55.0,28.0,71.92293509080984,27.66974531875012,0.37414965986394555,0.19047619047619047,0.020709663980708563,0.015218068975392665,0.007098203171770868,0.025197517935895128
Neeko,34.0,0.26153846153846155,22.173830001110296,0.01568388450530359,0.5416666666666666,0.05524440700025207,0.009711972541144583,45.0,34.0,55.26486606926983,32.66757476174512,0.30612244897959184,0.2312925170068027,0.01957405713880372,0.011972525026652412,0.010485412921715837,0.021755137776151682
Orianna,31.0,0.23846153846153847,23.52337375496563,0.011089036975146732,0.5306122448979592,0.05372127122408534,0.010063526614863151,33.0,38.0,54.80822579377379,38.152695191435626,0.22448979591836735,0.2585034013605442,0.014684472043168256,0.009025259902345716,0.012572640671250088,0.020502888622566034
Hwei,26.0,0.2,15.86022657897658,0.0076835321162485,0.5327868852459017,0.03282329575943739,0.00697935109007995,23.0,37.0,9.577630702630701,17.88305587386469,0.1564625850340136,0.25170068027210885,0.006237797038398745,0.017015496338762433,0.005983579348069223,0.0026918920451320786
Renekton,39.0,0.30000000000000004,28.621150481007927,0.026121678732275416,0.5508474576271186,0.05432994534803139,0.01283278200608767,41.0,37.0,63.64941289783282,32.19469215490918,0.2789115646258503,0.25170068027210885,0.016849537959613362,0.01322973457852989,0.007836957597591426,0.024587055273839045
Yorick,15.0,0.11538461538461539,12.214108807858807,0.0010458175417055514,0.49429657794676807,0.06198293562217636,0.0051160568831597674,41.0,22.0,24.810610718139472,12.788129296007446,0.2789115646258503,0.14965986394557823,0.008118963170153282,0.004412886471349691,0.004545943111833898,0.007629707068068742
Galio,26.0,0.2,17.53037864912865,0.00987139599535707,0.5284552845528455,0.0535609573115622,0.008083251506251391,30.0,29.0,21.74867060175059,22.8742125929626,0.20408163265306123,0.19727891156462585,0.006840969503883964,0.004474121611463683,0.007099712055833296,0.008179930115240246
Malphite,19.0,0.14615384615384616,10.733044733044736,0.0021680378324014024,0.5058365758754864,0.02264910799525764,0.0049774694779546194,15.0,21.0,5.545274170274171,12.127976190476195,0.10204081632653061,0.14285714285714285,0.0027800472325063704,0.002130230341372845,0.0029870426957116472,0.001500775658450612
Zaahen,26.0,0.2,16.83056599832916,0.004081308299593608,0.5179282868525896,0.062686250212735,0.007021442440870169,35.0,27.0,17.968848553407376,17.969541299988276,0.23809523809523808,0.18367346938775508,0.007895297457871755,0.006071643171226823,0.00765763997793327,0.005016223765391014
Ornn,33.0,0.25384615384615383,16.47284544548645,0.017590172858087078,0.5508474576271186,0.05102851184797179,0.0074904989724687825,27.0,36.0,20.42587416668299,26.054673701771232,0.18367346938775508,0.24489795918367346,0.007695192437070278,0.00588681293157001,0.00828305230810542,0.007878078064682015
Aphelios,15.0,0.11538461538461539,6.155345471521943,0.001381236319400726,0.4868913857677903,0.011589129611263349,0.0034307520740464136,16.0,20.0,6.061958874458874,6.41826923076923,0.10884353741496598,0.13605442176870747,0.0026692568990335803,0.002912136617888364,0.0015851462425944766,0.0024143884509771943
Ambessa,23.0,0.17692307692307693,16.182252732593376,0.01092970793125396,0.52,0.026107520499365655,0.00758840313737992,58.0,18.0,68.94303319890889,10.703445490984194,0.3945578231292517,0.12244897959183673,0.024357976840141644,0.010113264323896854,0.0026282976065706773,0.021878181772470612
Wukong,26.0,0.2,22.357638586738094,0.012900216474922163,0.5179282868525896,0.07885528139684181,0.009941715218701573,56.0,31.0,83.65890798411559,20.391269710563193,0.38095238095238093,0.21088435374149658,0.02413488371564299,0.017830293851770342,0.00448750654750429,0.029525910274738058
Azir,14.0,0.1076923076923077,8.363514957264956,0.0015274030841479604,0.4868913857677903,0.02404926906873736,0.004127208104679587,54.0,12.0,43.822491889345585,5.753707184628237,0.36734693877551017,0.08163265306122448,0.016747664289115016,0.010662524663599418,0.0016397809179119827,0.014359956795963144
Braum,14.0,0.1076923076923077,8.581293706293707,0.0014947150281470047,0.49056603773584906,0.021782272559706137,0.004367901085836698,28.0,20.0,12.32147101264749,7.713723776223774,0.19047619047619047,0.13605442176870747,0.006325222454397898,0.003843400872917638,0.0021428258653665502,0.002644188270788941
Jayce,29.0,0.2230769230769231,21.809962190110927,0.010789506201167242,0.5327868852459017,0.05371057643009943,0.00924662331675652,42.0,29.0,63.32409176148493,24.892928537960948,0.2857142857142857,0.19727891156462585,0.015826422063309923,0.006313097735184363,0.009363759300945849,0.02727066714013303
Alistar,27.0,0.2076923076923077,21.768989900278594,0.025172254106618188,0.5220883534136547,0.053474473494895536,0.010331459593700333,24.0,41.0,11.165232245824352,22.38923365282061,0.16326530612244897,0.2789115646258503,0.005522967517619373,0.00789869917717126,0.006324087890382728,0.002363820815375742
Rell,32.0,0.24615384615384617,20.946838371180483,0.034903577179297034,0.5394190871369294,0.040395382218594636,0.010506004205265656,44.0,27.0,38.110880183055095,27.70237581578695,0.29931972789115646,0.18367346938775508,0.014050690118042457,0.007552215909611033,0.009500252121520522,0.011795261457461051
Syndra,21.0,0.16153846153846155,10.786595349095348,0.00524405600910694,0.5118110236220472,0.01929788151636026,0.005283921620422171,38.0,25.0,27.04450677125331,15.456641129338497,0.2585034013605442,0.17006802721088435,0.009213101580138331,0.007424165702995218,0.00592567898455109,0.010805266014005664
Ziggs,17.0,0.13076923076923078,10.31412337662338,0.0016055745500572075,0.5038759689922481,0.02717929140815658,0.004808473806826448,18.0,19.0,7.5290750915750895,11.064935064935067,0.12244897959183673,0.1292517006802721,0.0032920042455628655,0.0012774891682583867,0.0035536920178939747,0.003044019336168497
Miss Fortune,20.0,0.15384615384615385,11.490757129344086,0.004018808101701745,0.5078125,0.02716479958533638,0.005316995458148606,42.0,21.0,25.537969261131018,11.144483376101027,0.2857142857142857,0.14285714285714285,0.009887800169395394,0.015511276129300866,0.0041706410729456566,0.007854917383073352
Leona,19.0,0.14615384615384616,10.077033464901117,0.006574047750012953,0.49242424242424243,0.019507659847265334,0.00517678492932628,40.0,26.0,24.219585969585967,12.73091491841492,0.27210884353741494,0.17687074829931973,0.009293770598354437,0.010172841065336228,0.0041142230157473186,0.00613473834419115
Olaf,28.0,0.2153846153846154,14.078823953823958,0.004181184831124314,0.5306122448979592,0.03251332155003176,0.006116418512715487,19.0,36.0,8.374066905316903,18.524069680319684,0.1292517006802721,0.24489795918367346,0.003989259203720237,0.0027979081420381404,0.006638266645929064,0.002356665088441764
Kalista,12.0,0.09230769230769231,4.290750915750916,0.0010476534521109695,0.48872180451127817,0.01022585302677823,0.002767206614242919,15.0,10.0,6.52014652014652,4.565476190476191,0.10204081632653061,0.06802721088435373,0.0043840205976723836,0.0008000398960164699,0.0012744403015191497,0.0018277219899687548
Shen,23.0,0.17692307692307693,11.524698340874814,0.0038001370949451983,0.5241935483870968,0.028701568499309722,0.005268380746098539,19.0,28.0,9.891046453546455,15.624486624486627,0.1292517006802721,0.19047619047619047,0.003695208706911806,0.002693686367633442,0.006425304949371008,0.003861437298477446
Sejuani,22.0,0.16923076923076924,9.980294011544014,0.0047409561089849835,0.5179282868525896,0.025368446733904856,0.004943191145125592,21.0,23.0,6.3809523809523805,13.569874569874571,0.14285714285714285,0.1564625850340136,0.0033805309110172786,0.0021073047306682927,0.004453020342866477,0.0017696141886681845
