patch,patch_number,champion,patch_matches,picks,wins,bans,win_rate,smoothed_win_rate,pick_rate,ban_rate,presence_rate,op_score,op_rank,is_high_pro_presence_reference
26.11,2611,Aphelios,400,8,2,2,0.25,0.34615384615384615,0.02,0.005,0.025,0.017499999999999998,113,False
26.11,2611,Jinx,400,9,3,0,0.3333333333333333,0.39285714285714285,0.0225,0.0,0.0225,0.01575,114,False
26.11,2611,Kassadin,400,2,0,7,0.0,0.35714285714285715,0.005,0.0175,0.0225,0.01575,115,False
26.11,2611,Mordekaiser,400,5,1,4,0.2,0.35,0.0125,0.01,0.0225,0.01575,116,False
26.11,2611,Vex,400,4,2,4,0.5,0.5,0.01,0.01,0.02,0.013999999999999999,117,False
26.11,2611,Cho'Gath,400,6,2,2,0.3333333333333333,0.4090909090909091,0.015,0.005,0.02,0.013999999999999999,118,False
26.11,2611,Volibear,400,3,0,5,0.0,0.3125,0.0075,0.0125,0.02,0.013999999999999999,119,False
26.11,2611,Zyra,400,7,1,1,0.14285714285714285,0.2916666666666667,0.0175,0.0025,0.02,0.013999999999999999,120,False
26.11,2611,Thresh,400,4,1,3,0.25,0.3888888888888889,0.01,0.0075,0.0175,0.01225,121,False
26.11,2611,Graves,400,1,0,5,0.0,0.4166666666666667,0.0025,0.0125,0.015,0.010499999999999999,122,False
26.11,2611,Brand,400,6,2,0,0.3333333333333333,0.4090909090909091,0.015,0.0,0.015,0.010499999999999999,123,False
26.11,2611,Kog'Maw,400,6,2,0,0.3333333333333333,0.4090909090909091,0.015,0.0,0.015,0.010499999999999999,124,False
26.11,2611,Bel'Veth,400,4,1,2,0.25,0.3888888888888889,0.01,0.005,0.015,0.010499999999999999,125,False
26.11,2611,Kayle,400,2,1,3,0.5,0.5,0.005,0.0075,0.0125,0.008749999999999999,126,False
26.11,2611,Lillia,400,2,1,3,0.5,0.5,0.005,0.0075,0.0125,0.008749999999999999,127,False
26.11,2611,Udyr,400,4,2,1,0.5,0.5,0.01,0.0025,0.0125,0.008749999999999999,128,False
26.11,2611,Yasuo,400,5,2,0,0.4,0.45,0.0125,0.0,0.0125,0.008749999999999999,129,False
26.11,2611,Kled,400,3,1,2,0.3333333333333333,0.4375,0.0075,0.005,0.0125,0.008749999999999999,130,False
26.11,2611,Vladimir,400,4,1,1,0.25,0.3888888888888889,0.01,0.0025,0.0125,0.008749999999999999,131,False
26.11,2611,Zilean,400,4,1,1,0.25,0.3888888888888889,0.01,0.0025,0.0125,0.008749999999999999,132,False
26.11,2611,Aurelion Sol,400,2,0,3,0.0,0.35714285714285715,0.005,0.0075,0.0125,0.008749999999999999,133,False
26.11,2611,Veigar,400,5,1,0,0.2,0.35,0.0125,0.0,0.0125,0.008749999999999999,134,False
