source,target,teams_using_both,teams_using_pair_with_op_context
Akali,Bard,96,0
Akali,Karma,96,0
Corki,Xin Zhao,96,0
Karma,Skarner,96,0
Ashe,Skarner,96,0
Cassiopeia,Orianna,96,0
K'Sante,Skarner,96,0
Ezreal,Rell,96,0
Ashe,Lee Sin,96,0
Orianna,Varus,96,0
Varus,Vi,96,0
Seraphine,Sivir,96,0
Nami,Nocturne,95,24
Cassiopeia,Neeko,95,0
Gnar,Lee Sin,95,0
Karma,Lee Sin,95,0
Nautilus,Sivir,95,0
Skarner,Wukong,95,0
Akali,Ashe,95,0
Rakan,Xin Zhao,95,0
Annie,Nautilus,95,0
K'Sante,Sivir,95,0
Anivia,Rumble,95,0
Rumble,Skarner,95,0
Caitlyn,Jhin,95,0
Lucian,Sivir,95,0
Milio,Sivir,95,0
Ahri,Naafiri,95,0
Naafiri,Vi,95,0
Ezreal,Rakan,95,0
Akali,K'Sante,95,0
Akali,Rumble,95,0
Caitlyn,Varus,95,0
Pantheon,Varus,95,0
Jayce,Orianna,95,0
Annie,Gnar,95,0
Jhin,Renekton,95,0
Jayce,Nocturne,94,32
Nocturne,Renekton,94,30
Anivia,Karma,94,0
Lee Sin,Wukong,94,0
Ahri,Sivir,94,0
Naafiri,Orianna,94,0
Cassiopeia,Varus,94,0
Gnar,Naafiri,94,0
Akali,Nautilus,93,0
Anivia,Caitlyn,93,0
Anivia,Cassiopeia,93,0
Caitlyn,Skarner,93,0
Cassiopeia,Sivir,93,0
Corki,Sion,93,0
Neeko,Yunara,93,0
Nami,Orianna,93,0
Annie,Karma,93,0
Lulu,Nami,93,0
Lulu,Sivir,93,0
Jhin,Neeko,93,0
Ahri,Jayce,93,0
Akali,Lucian,93,0
Akali,Milio,93,0
Aurora,Jayce,93,0
Jayce,Neeko,93,0
Rumble,Sivir,93,0
Lulu,Renekton,93,0
Renekton,Varus,93,0
Anivia,Wukong,92,0
Cassiopeia,Nami,92,0
Nami,Yunara,92,0
Ahri,Nami,92,0
Nami,Vi,92,0
Alistar,Ezreal,92,0
Jhin,Lulu,92,0
Pantheon,Sivir,92,0
Naafiri,Wukong,92,0
Rell,Xin Zhao,92,0
Anivia,Pantheon,92,0
Jayce,Vi,92,0
Annie,Pantheon,92,0
Renekton,Yunara,92,0
Jayce,Lulu,92,0
Anivia,Viktor,91,0
Caitlyn,Lee Sin,91,0
Corki,Nautilus,91,0
Ezreal,Taliyah,91,0
Taliyah,Xin Zhao,91,0
Lulu,Neeko,91,0
Nautilus,Rell,91,0
Annie,Lee Sin,91,0
Jhin,Lee Sin,91,0
Jayce,Viktor,91,0
Jayce,Yunara,91,0
Akali,Cassiopeia,90,0
Anivia,Aurora,90,0
Bard,Corki,90,0
Cassiopeia,Skarner,90,0
Gnar,Sivir,90,0
Ambessa,Annie,90,0
Annie,Yunara,90,0
Jarvan IV,Taliyah,90,0
Seraphine,Trundle,90,0
Corki,Ryze,90,0
Corki,Seraphine,90,0
Lulu,Naafiri,90,0
Alistar,Xin Zhao,90,0
Jayce,Jhin,90,0
Lee Sin,Pantheon,90,0
Sion,Trundle,90,0
Ambessa,Renekton,90,0
Jhin,Yunara,90,0
Neeko,Renekton,90,0
Nocturne,Skarner,89,28
Nocturne,Varus,89,28
Aurora,Sivir,89,0
Cassiopeia,Lee Sin,89,0
Sivir,Viktor,89,0
Annie,Vi,89,0
Corki,K'Sante,89,0
Annie,Cassiopeia,89,0
Annie,Orianna,89,0
Naafiri,Yunara,89,0
Anivia,Vi,89,0
Lee Sin,Vi,89,0
Akali,Pantheon,89,0
Annie,Jhin,89,0
Ambessa,Jayce,89,0
Cassiopeia,Renekton,89,0
Jayce,Nami,89,0
Akali,Aurora,88,0
Akali,Wukong,88,0
Aurora,Skarner,88,0
Sivir,Yunara,88,0
Sivir,Vi,88,0
Anivia,Lulu,88,0
Annie,Caitlyn,88,0
Ezreal,Trundle,88,0
Trundle,Xin Zhao,88,0
Pantheon,Skarner,88,0
Corki,Pantheon,88,0
Nautilus,Rakan,88,0
Neeko,Varus,88,0
Cassiopeia,Naafiri,88,0
Jhin,Naafiri,88,0
Lee Sin,Lulu,88,0
Anivia,Nocturne,87,25
Annie,Nocturne,87,25
Ambessa,Neeko,87,0
Lee Sin,Viktor,87,0
Skarner,Viktor,87,0
Rakan,Seraphine,87,0
Annie,Lulu,87,0
Sion,Taliyah,87,0
Alistar,Jarvan IV,87,0
Alistar,Sion,87,0
Ahri,Akali,87,0
Jarvan IV,Trundle,87,0
Lulu,Varus,87,0
Naafiri,Nocturne,86,26
Akali,Neeko,86,0
Anivia,Gnar,86,0
Anivia,Neeko,86,0
Corki,Karma,86,0
Gnar,Skarner,86,0
Skarner,Yunara,86,0
Nami,Renekton,86,0
Rakan,Wukong,86,0
Ahri,Annie,86,0
Ahri,Skarner,86,0
Lulu,Skarner,86,0
Alistar,K'Sante,86,0
Ashe,Sivir,86,0
Orianna,Sivir,86,0
Skarner,Vi,86,0
Rell,Ryze,86,0
Nami,Varus,86,0
Seraphine,Taliyah,86,0
Akali,Vi,86,0
Akali,Jhin,86,0
Annie,Neeko,86,0
Ambessa,Caitlyn,85,0
Neeko,Skarner,85,0
Milio,Trundle,85,0
Ahri,Lee Sin,85,0
Ambessa,Varus,85,0
Lee Sin,Naafiri,85,0
Naafiri,Neeko,85,0
